index,genre,caption,actual_tags,Precision@1,Recall@1,F1@1,Precision@3,Recall@3,F1@3,Precision@5,Recall@5,F1@5,Predicted@1,Similarity@1,Predicted@2,Similarity@2,Predicted@3,Similarity@3,Predicted@4,Similarity@4,Predicted@5,Similarity@5
10,hiphop,"This is a hip-hop dance music piece. There is a male vocalist who is singing in a flamboyant manner. There is an electric guitar playing the melody joined by a strong bass sound. There is a groovy, urban atmosphere. This piece can be used as an accompaniment piece in modern dancing courses.","hip-hop, dance music, shuffle, male vocal, flamboyant singing, electric guitar, bass, electronic drums, playful, groovy, hip, urban, energetic",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moderate tempo,0.9640170335769653,funky bass,0.959909200668335,funk,0.9431999325752258,groovy rhythm,0.9344594478607178,uptempo,0.9342867136001587
11,classical,"The song is instrumental. The tempo is medium with sitars and other stringed instruments playing in unison, tabla percussions and a harmonium playing the lead. The song is a classic hindustaani instrumental.","instrumental music, harmonium solo, traditional indian instruments, indian classical music, tabla playing percussively, sitar accompaniment, y traditional indian instruments, groovy rhythm, exciting, instruments in unison, dance rhythm, ancient traditional music, passionate, live concert, live audience, medium tempo, hindustaani music",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bongos,0.9591795206069946,fast tempo,0.9554137587547302,love song,0.9540612697601318,instrumental,0.9539973735809326,accordion,0.9520595073699951
12,blues,This song contains someone playing a blues melody on the acoustic piano along with an e-guitar and an e-bass. The acoustic drums are playing a constant rhythm while male deep voice is backed by higher sounding male voices singing harmonies along with him. Then a male voice starts talking that seems not to be part of the musical composition. This song may be playing in a cafe.,"gospel/blues, male voices singing, low to higher register, male voice talking, acoustic piano, e-bass, acoustic drums, e-guitar, uptempo",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jazzy,0.9484306573867798,guitar strumming,0.9290162920951843,catchy,0.9241122007369995,funky bass,0.9236239194869995,jazz,0.9120447039604187
13,blues,This instrumental song features a guitar played clean in the beginning and then switching to an overdrive sound. There are no other instruments in this song. There are no voices in this song. The mood of this song is bluesy.,"guitar song, overdriven guitar, clean guitar, no other instruments, sound comparison audio, no voice, instrumental",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,funky bass,0.9398274421691895,guitar strumming,0.9371930956840515,groovy bassline,0.933707594871521,groovy bass line,0.933113157749176,steady bass line,0.9258012771606445
14,hiphop,This is a comedic hip-hop music piece. There is a male vocal rapping in the lead. The melody in the beat is being played by the piano and the electric guitar while a bass guitar plays in the background. The rhythm is provided by an electronic drum beat. The piece has an amusing aura to it. It could be used in the background of funny social media content.,"comedy, hip-hop, male vocal, rapping, piano, electric guitar, bass guitar, electronic drums, funny, amusing, hip",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reggae,0.9502363204956055,tambourine beats,0.9410391449928284,funky bass,0.9394471645355225,r&b,0.9188821315765381,groovy rhythm,0.903486430644989
15,metal,This is an instrumental harp cover of a heavy metal music piece. The atmosphere of the recording is lively. This piece could be used in the soundtrack of an arcade video game. It could also be sampled for use in beat-making.,"no singer, instrumental, single instrument, harp, heavy metal, lively, vibrant",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple percussion,0.9641808867454529,synth sounds,0.9624682068824768,uptempo,0.9601321816444397,slower tempo,0.9557350277900696,disco pop,0.9541898369789124
16,rock,A drone sound is playing in the lower to mid range as an intro before the song starts with a high pitched bell sound with a very long release time and acoustic drums that sounds like playing behind a closed door. This song may be playing in a club.,"rock, acoustic drums, synth bell sound, special effects, uptempo",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.25,guitar strumming,0.9326797127723694,funky bass,0.9323692321777344,groovy bassline,0.9270938038825989,acoustic drums,0.9242565631866455,acoustic rhythm guitar,0.9116169214248657
17,jazz,"This is an instrumental jazz music piece. The main theme is being played on a theremin while there is a keyboard and an upright bass in the melodic background. For the rhythm, there is an acoustic swing jazz drum beat. There is an avant-garde feel to this piece. It could be used in the soundtrack of a sci-fi movie or a TV show. It could also be played in the soundtracks of video games with an outer space setting.","jazz music, instrumental, theremin, keyboard, upright bass, acoustic jazz drums, swing, avant-garde, unique, outer space, movie music",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,funky bass,0.9474220275878906,jazzy,0.9441908001899719,groovy rhythm,0.9400098919868469,drum machine,0.9360247254371643,tambourine beats,0.934554934501648
18,blues,The song is an instrumental. The tempo is medium with an electric guitar playing a blues solo with an effects pedal and amplifier. The solo is heartfelt and has a lot of soul and spirit to it. The audio quality is bad.,"guitar lead, bad audio quality, distortion pedal, amplifier tone, tone fades, heartfelt, blues solo, guitar tone demo, online guitar lessons, groovy music, instrumental song, home music video, demo video, banshee tone, medium tempo, no other instrumentation, no percussions, blues solo, soloist, guitar virtuoso",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,funky bass,0.9393988251686096,guitar strumming,0.9289710521697998,groovy bassline,0.9245662689208984,groovy bass line,0.9235695600509644,acoustic rhythm guitar,0.909262478351593
19,classical,"A classical, slightly jazzy piano is playing a lovely composition with a lot of reverb. During the song you can hear footsteps. Someone is running through water. Then at the end someone is burping really loud. This whole composition with the burping could be part of a funny embarrassing scene in a movie.","classical/jazzy/piano-composition, big burp, footsteps sample, slow to medium tempo, sincere to disgusting atmosphere",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jazzy,0.9492729306221008,shimmering cymbals,0.9362070560455322,jazz,0.935822606086731,reggae song,0.9315176606178284,drum machine,0.9234083890914917
20,jazz,"The Video Game Sound recording features a lot of in-game sound effects of the main character and his surroundings, followed by background, jazzy music in the background. The music contains funky piano chord progression, groovy bass and uptempo drums. There are some man grunts sound effects, funny spring sound effects, some beeping sound effects and at the very end of the loop a gun reload sound effect.","video game sound, groovy bass, in game sound effects, man grunting sound effects, funky piano, groovy bass, jazzy, saxophone, uptempo drums, background music, weird beeping sound effect, funny spring sound effect, gun reload sound effect",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,steady bass line,0.9449777603149414,e-guitars,0.9445931315422058,energetic drums,0.9400007128715515,e-guitar,0.9373879432678223,soft rock,0.9333679676055908
21,reggae,"The low quality recording features a reggae song sung by low flat male vocals, followed by repetitive synth lead melody, groovy bass, vocal chants, claps, punchy kick hits, shimmering hi hats and open hats. It sounds energetic, suspenseful and it is in mono. At one point the vocal cracks and it sounds out of tune for a split second.","low quality, reggae, low flat male vocal, repetitive synth lead melody, groovy bass, punchy kick, clapping, shimmering hi hats, shimmering open hat, vocal chants, energetic, suspenseful, mono, voice crack",1.0,0.1111111111111111,0.19999999999999998,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.2,0.1111111111111111,0.14285714285714285,reggae,0.9654523134231567,funky bass,0.9332298040390015,tambourine beats,0.9301081895828247,moderate tempo,0.9281313419342041,reggae music,0.9243014454841614
22,pop,"The low quality recording features a pop folk song that consists of passionate female vocal singing over repetitive flute licks, stuttering hi hats, groovy piano chords, claps and a riser sweep. It sounds energetic and kind of addictive, thanks to those interesting melodies and a fairly repetitive female vocal.","low quality, passionate female vocal, clapping, repetitive flute licks, riser, stuttering hi hat, pop folk, energetic, addictive, groovy piano chords",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,guitar strumming,0.9614125490188599,groovy bassline,0.952889084815979,catchy,0.9465562105178833,groovy bass line,0.943065345287323,groovy rhythm,0.9370055198669434
23,country,"This music is instrumental. The tempo is slow with an acoustic guitar harmony, loud electric guitar feedback and fiddle. The music is intense, rugged, vivid, melancholic, pensive, raw, powerful, emphatic and strong. This music is classic Blues Country Music.","instrumental, slow tempo, melancholy, vivid, empahtic melody, rugged, powerful, country blues, blues, country music, country song, regional music, empahtic electric guitar feedback, acoustic guitar harmony, country music, intense, rugged, fiddle",1.0,0.1,0.18181818181818182,0.6666666666666666,0.2,0.30769230769230765,0.4,0.2,0.26666666666666666,country blues,0.9334864616394043,blues,0.9084951877593994,acoustic rhythm guitar,0.900635838508606,groovy bass line,0.8941490650177002,groovy bass guitar,0.8917216658592224
24,pop,The low quality recording features a pop song that consists of harmonizing vocals singing over punchy snare and kick hits and shimmering cymbals. It sounds energetic and exciting.,"low quality, pop, harmonizing vocals, punchy snare, shimmering cymbals, punchy kick, energetic, exciting",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,synth pop,0.9588638544082642,r&b,0.9574605226516724,tambourine beats,0.9555840492248535,disco pop,0.9517123699188232,moderate tempo,0.9484439492225647
25,blues,"A female singer sings this soulful song. The song is slow tempo with piano accompaniment, strong bass line and groovy jazz drumming. The song is soulful and emotional. The song is a blues jazz song.","female singer, soul music, jazz music, blues music, jazz and blues, slow tempo, black gospel music influences, special someone, dream of you, missing you, percussive bass line, jazz drumming rhythm, piano accompaniment, emotional, love song, story telling, love you so badly, together forever",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,funky bass,0.946803867816925,jazzy,0.945276141166687,guitar strumming,0.9412223100662231,groovy bass line,0.9251232743263245,groovy rhythm,0.9197695255279541
26,rock,This is an amateur recording of a guitar solo for a rock music piece. The solo is being played on an overdriven electric guitar while the piano and the bass guitar in the backing track play the main tune. There is a 6/8 rock beat played on the acoustic drums for the rhythm section. There is a raw feel to it. The piece can be used to gather electric guitar samples to be used in beat-making.,"amateur recording, rock music, instrumental, electric guitar, guitar solo, bass guitar, piano, acoustic drums, groovy, hard, raw",0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.2,0.1111111111111111,0.14285714285714285,funky bass,0.9531806707382202,acoustic drums,0.9491668343544006,no vocals,0.9484354257583618,moderate tempo,0.9460567831993103,amplified guitar,0.9450145959854126
27,rock,The low quality recording features an echoing electric guitar playing rock solo melody. The recording is noisy and in mono. It sounds passionate.,"low quality, echoing electric guitar solo melody, noisy, mono, passionate, rock",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,percussive bass line,0.9743623733520508,distorted electric guitar,0.9501723051071167,medium tempo,0.9476462602615356,simple percussion,0.946805477142334,slower tempo,0.9457314014434814
28,metal,"The Metal song features a repetitive, aggressive male vocal screaming over wide, aggressive electric guitar chords, distorted bass guitar, punchy snare and kick hits and energetic cymbals. There is a toms roll at the end of the loop. It sounds aggressive, energetic and manic - like something you would jump into a mosh pit at the concert.","metal, wide aggressive electric guitar chords, repetitive aggressive male vocals, screaming, distorted bass guitar, punchy snare, wide toms roll, energetic cymbals, aggressive, energetic, manic, punchy kick",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,heavy metal,0.9353046417236328,hard rock,0.9260969161987305,goth rock,0.9223185181617737,energetic drums,0.901392936706543,steady drumming rhythm,0.8906522989273071
29,hiphop,"A male singer sings this rap vocals with backup singers in harmony. The song is medium tempo with typing and beeping tones, followed by steady drumming rhythm, groovy bass and keyboard harmony. The song is energetic and exciting. The song has a home video intro followed by a rap song.","typing sounds, male rapper, backup singers, singer self introduction, groovy, damage rap music, beeping tones, booming bass line, amateur video quality, home rap video, vocal commentary, medium tempo, ambient noise, street noises, energetic, passionate, story telling, amateur video quality, gym talk, poor quality audio",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tambourine beats,0.9420135021209717,r&b,0.9417102336883545,synth pop,0.9356282949447632,funky bass,0.9109945297241211,reggae,0.910545825958252
30,country,"This is a country music piece. There is a female vocalist singing melodically at the forefront. The melodic background consists of the electric guitar, the bass guitar and the piano. The rhythmic background is provided by a simple acoustic drum beat. The atmosphere is upbeat and easygoing. This piece could be playing in the background at a rock bar. It could also work well as an advertisement jingle.","country music, rock, female vocal, melodic singing, electric guitar, piano, bass guitar, acoustic drums, simple tune, upbeat, easygoing",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,guitar strumming,0.9293200969696045,groovy bass line,0.9059238433837891,acoustic rhythm guitar,0.9019801616668701,catchy,0.8983875513076782,jazzy,0.8969528675079346
31,metal,"This music is an electric guitar lead instrumental. The tempo is slow with no accompaniment and ambient sounds like a popping and swishing sound. The music is a rhythmic, controlled, pleasant, melancholic, sentimental and emotional Electric guitar solo.","instrumental, slow tempo, electric guitar lead, rock, hard rock, metal, heavy metal, soft rock, electric guitar, external amplification, ambient sounds, popping sound, rustling sound, electric guitar lead, vibrations, resounding",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,smooth bass,0.9580413103103638,steady bass line,0.9476367831230164,distorted electric guitar,0.9408170580863953,steady drumming rhythm,0.9287170171737671,moderate tempo,0.9284124374389648
32,jazz,This is a series of clips - a compilation. The compilation is separated by the telephone beep tone. One of the clips is orchestral strings playing a motif that would be used when something shocking or suspenseful happens. The other clip contains a jazzy saxophone motif. There is also a sultry woman speaking sassily with some upbeat percussion under her vocal.,"telephone beep tone, saxophone, shocking strings playing, repeated telephone beep tone, talking woman, disjointed, upbeat pop clip",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drum machine,0.95295250415802,reggae song,0.9348240494728088,tambourine beats,0.9202930331230164,synthesiser arrangements,0.9140816926956177,jam,0.9121737480163574
33,hiphop,This is a pop music piece. There is a male vocalist singing at a medium-to-high pitch in the lead. There is a melodic pad and an electric guitar sound providing the melody. A strong bass sound can be heard playing. The rhythm consists of a simple electronic drum beat. The atmosphere is energetic and danceable. This piece can be played at nightclubs and dance clubs. It could also be used during club scenes in movies.,"pop, hip-hop, electronic, male vocal, medium-to-high pitch singing, electric guitar sample, melodic pad, strong bass, electronic drums, energetic, danceable, urban",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,funky bass,0.9370755553245544,disco pop,0.930935263633728,synth pop,0.9268883466720581,tambourine beats,0.9265779256820679,acoustic drums,0.9183204174041748
34,pop,"This music is instrumental. The tempo is medium fast with a melodic keyboard harmony, punchy drumming, funky bass lines, and rhythmic acoustic guitar, whistle harmony and clapping and fingers snapping.The melody is simple, sunny, warm, energetic and youthful with a retro vibe. This music is classic Pop.","instrumental, pop music, medium fast tempo, acoustic guitar, classic pop, peppy, retro music, keyboard harmony, rhythmic drumming, funky bass lines, whistle harmony, clapping, fingers snapping, simple harmony, melodic, catchy, fresh, happy, sunny",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,funky bass,0.9460515975952148,reggae,0.9413663148880005,disco pop,0.9238581657409668,funk,0.9195224642753601,tambourine beats,0.9160722494125366
35,country,"This features two clips from country songs. The first song is upbeat, and suitable for rhythmic and groovy dancing. The second song is slower and features a group of male vocalists harmonising. The overall feeling is a country midwestern feel.","country music, old schol, vintage country music, country folk music, two songs, group male harmony vocals, upbeat, upright bass guitar",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tambourine beats,0.9088936448097229,reggae,0.8954595327377319,guitar strumming,0.8909752368927002,jazzy,0.8831642866134644,funky bass,0.8809036612510681
36,reggae,"A female singer sings this passionate melody. The song is medium tempo with steady drumming rhythm, groovy bass line, Caribbean percussion, guitar accompaniment and a brass band playing percussively. The song is emotional and spirited. The song is a classic renege hit.","female singer, spirited singing, reggae hits, tropical dance hit, caribbean music style, trumpets blaring, caribbean percussions rhythm, medium tempo, guitar accompaniment, groovy bass line, steady drumming rhythm, brass band harmony, emotional, passionate, reggae groove, classic reverse hits, spirited, dance groove, beachside party, people dancing, inspiring, life is good, enjoy life, life is a dance",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tambourine beats,0.9489078521728516,funky bass,0.9484416246414185,reggae,0.9388090968132019,jazzy,0.938255250453949,drum machine,0.9356569647789001
37,jazz,A male singer sings this vocals with a vocoder. The song is medium tempo with a groovy techno drumming rhythm and keyboard accompaniment. The song is passionate but an amateurish production. The audio quality is very poor.,"vocoder, male singers love performance, poor audio quality, jam session, amateur jazz musician, medium tempo, amateur musician, jazz musician, keyboard accompaniment, groovy music, techno drumming rhythm, poor audio quality, people talking, unimpressive, excited, energetic, passionate, ambient room noises",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,synth pop,0.9515590667724609,tambourine beats,0.9423511624336243,disco pop,0.9419171214103699,r&b,0.9359982013702393,synth sounds,0.9340797662734985
38,hiphop,"The low quality recording features wide scratching effects of an uptempo hip hop song that contains repetitive male vocal, wooden percussive elements, siren sound effect and energetic drums. It sounds energetic, muffled and a bit harsh due to loud scratchings.","low quality, wide scratching effect, uptempo, hip hop, repetitive male vocal, wooden percussive elements, energetic drums, loud, harsh, muffled, siren sound effect",0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.2,0.16666666666666666,0.1818181818181818,hip-hop,0.9567593336105347,electronic drums,0.9534407258033752,hip hop,0.949116587638855,rap,0.9490303993225098,slick drumming,0.9461800456047058
39,country,This song features a pedal steel guitar playing the main melody. This starts off with a slide to a high register followed by plucking low register strings. This is accompanied by percussion playing a simple beat in common time. An acoustic guitar strums chords in the background. The bass guitar plays the root notes of the chords. This song is at a slow tempo. There are no voices in this song. This is an instrumental song with a Country feel. This song can be played in a coffee shop.,"guitar song, pedal steel guitar, simple percussion, acoustic guitar, slow tempo, country song, instrumental, no voices, relaxing music",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,funky bass,0.9414294958114624,guitar strumming,0.9337259531021118,jazzy,0.9290945529937744,groovy rhythm,0.9199793338775635,acoustic rhythm guitar,0.9127609133720398
40,metal,The song is an instrumental. The song is fast tempo with distorted guitars playing in rhythm. The song is energetic and an amateurish performance. The song is of very poor quality with audio noise and hissing sound.,"poor audio quality, noise, distortion, hissing tones, noisy ambience, instrumental music, distorted guitar rhythm, fast, amateur quality recording, deteriorated audio quality, metal band, amateur band",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,steady bass line,0.9515171647071838,steady drumming rhythm,0.9343109130859375,smooth bass,0.9272502660751343,energetic drums,0.9261031746864319,groovy bassline,0.9205855131149292
41,jazz,"A male vocalist sings this Jazz melody. The tempo is medium with a jazz style piano and drumming, groovy bass line, tambourine beats and vocal backup. The harmony is syncopated and complex. It is ambient, atmospheric, punchy, emphatic and enjoyable.","male vocalist, medium tempo, jazz, jazz piano, jazz drumming, groovy bass line, vocal backup, syncopated harmony, complex chords, improvisation, deliberate dissonance, tambourine beats, blue notes, polyrhythms, ambient, atmospheric, emphatic",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,funky bass,0.9505059719085693,jazzy,0.9366955161094666,moderate tempo,0.9320597648620605,guitar strumming,0.9304907321929932,groovy rhythm,0.9229645729064941
42,hiphop,"A male vocalist sings this spirited rap. The tempo is medium with keyboard accompaniment, digital drums,electric guitar riff and synthesiser arrangements with vocal backup. The song is passionate, compelling, strong telling, chanting, persuasive and youthful. This song is Contemporary Rap-Hip-Hop.","male vocalist, medium tempo, rap, rap hits, digital drum, youthful, street rapper, disco rap, hip-hop, hip-hop hits, rhythmic patter, electronic music, drum machine, synthesiser arrangements, vocal backup, passionate, engaging, compelling, persuasive, street vernacular, slangy lyrics, chanting, recurring beat, amplified guitar",1.0,0.06666666666666667,0.125,0.6666666666666666,0.13333333333333333,0.2222222222222222,0.4,0.13333333333333333,0.2,rap,0.9174663424491882,hip-hop,0.9086334705352783,reggae,0.8949648141860962,hip hop,0.8931936621665955,funky bass,0.8896801471710205
43,pop,"A female vocalist sings this lively Children’s Song. The tempo is fast with a cheerful acoustic guitar and ukulele accompaniment along with clapping. The song is lively, upbeat, engaging, energetic, simple and enthusiastic. The song is a children’s nursery rhyme with the catchy , simple tune and lyrics meant to make learning fun. It is engaging, interactive, instructional, educational teaching coordination.","female vocalist, fast tempo, cheerful acoustic guitar, simple lyrics, simple tune, interactive, learning is fun, energetic coordination, clapping, lively mandolin, minimal instrumentation, children’s songs, nursery rhymes, popular kids songs, education songs, kindergarten songs, happy, chirpy, engaging, interactive, active learning",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cymbals crashing,0.938306450843811,reggae song,0.9354739785194397,synthesiser arrangements,0.9338424801826477,tambourine,0.9323420524597168,pop song,0.9292454719543457
44,hiphop,"This is an excerpt from a music show. There is a female voice narrating an event that took place. In the background, there is hip-hop music playing. A male vocal can be heard rapping. The melody is being played by a synth sound. There is a strong bass in the piece. The rhythm is played by the electronic drums. This piece could be used as an advertisement jingle for a sportswear or automobile company.","music show, female voice, narrating, hip-hop music, male vocal, rapping, synth, strong bass, electronic drums, urban sound",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drum machine,0.9547577500343323,tambourine beats,0.9544899463653564,r&b,0.9443895816802979,synth pop,0.9409438371658325,disco pop,0.9191031455993652
45,classical,This song is played on a harpsichord. The harpsichord plays the bass and treble notes. This is a classical composition. There are no other instruments in this song. There are no voices in this song. This song can be used when a member of royalty arrives at a palace.,"harpsichord song, classical composition, no other instruments, no voices, moderate tempo, sound for royalty, happy melody",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,strings,0.959160566329956,sustained strings melody,0.9551317691802979,string section,0.9519861936569214,flute,0.9490628242492676,keyboard,0.9405568838119507
46,pop,This song has some experimental sounds. The string instrument sounds processed and slightly oriental. The synth plucks sound as running through different effects that are changing the bit rate and some filters. These elements are panned to the right and left and right side of the speakers playing different melodies. An acoustic drum is holding the whole construct together while an e-bass is playing his own run along with the drums. An e-guitar is playing long single chords. This song may be playing in an adventurous indie-videogame.,"pop, oriental sounding string instrument, synthesizer bit sound, e-guitar, acoustic drums, experimental, medium tempo, happy, light sounding",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.20000000000000004,tambourine beats,0.9294086694717407,funky bass,0.9269852638244629,groovy rhythm,0.912773609161377,synth pop,0.910956621170044,acoustic drums,0.9076248407363892
