genre,graph_path,feature_path,ytid,caption,tags,split
country,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\country\country.00078.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\country\country.00078.npy,e57SBRbMXbI,"This piece of audio contains a modern pop song with drums, effects panned to left and right, a female voice singing with delay before changing into a totally different song that sounds more like a fast paced country song with a synthesizer- melody; acoustic drums and a banjo playing a fast melody along. This recording is also full of voice samples, a tiger or lion roaring, a telephone ringing. According to all these sounds and fast paced changes, it can be assumed that this recording is best played at a comedic television show for kids.","['pop/country', 'changing songs', 'electronic drums', 'banjo', 'female voice', 'comedic sound effects', 'background-noises', 'uptempo']",train
pop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\pop\pop.00029.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\pop\pop.00029.npy,1OIfQHKnAcw,A male singer sings this emotional melody. The song is medium tempo with a piano accompaniment and a strong bass drum kick . The song is emotional and romantic. The song is a home music video .,"['male singer', 'piano accompaniment', 'soloist', 'modern love', 'loneliness', 'breakup song', 'mameluke in love', 'music covers', 'youtube music videos', 'youtube music artist', 'modern pop hits', 'courtship song', 'desperate for you', 'madly in love', 'original song', 'acoustic pop', 'emotional', 'love song', 'sentimental', 'strong bass line', 'keyboard accompaniment']",train
rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00042.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00042.npy,1BVSYfNCcv0,This is a Malaysian alternative rock music piece. There is a male vocalist singing melodically at the forefront. The main melody is played by the acoustic guitar with the backing of a mellow electric guitar and a simple bass line on the bass guitar. The rhythmic background consists of a basic rock acoustic drum beat. There is a sentimental and easygoing atmosphere to this piece. It could be used in the soundtrack of a drama/romance movie or TV series that takes place in Malaysia.,"['malaysian', 'alternative rock', 'indie', 'male vocal', 'melodic singing', 'acoustic guitar', 'electric guitar', 'bass guitar', 'acoustic drums', 'sentimental', 'easygoing', 'mellow']",train
metal,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\metal\metal.00015.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\metal\metal.00015.npy,60y9j_Dc-Xs,"This music is instrumental. The tempo is medium with a sharp melody of the xylophone. It is melodic, reverberating,    minimalist with a festive ring to it.","['instrumental', 'medium tempo', 'sharp sounds', 'xylophonist', 'metalophone', 'festive', 'xylophone', 'resounding', 'reverberating', 'percussive instrument', 'bells', 'metallic sounds']",train
pop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\pop\pop.00051.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\pop\pop.00051.npy,Ipow026xzVw,"A male singer sings this cool and animated melody with backup singers in vocal harmony. The song is medium tempo with  steady drumming rhythm, groovy bass line, organ accompaniment and horns playing. The song is entertaining  and cheerful. The audio quality is bad.","['male singer', 'backup singer', 'vocal harmony', 'cheerful', 'positive', 'animated vocals', 'video sound track', 'guitar rhythm', 'horns playing', 'organ accompaniment', 'steady bass line', 'groovy rhythm', 'energetic', 'entertaining', 'bad audio quality', 'pop song', 'medium tempo', 'keyboard accompaniment']",train
rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00011.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00011.npy,GFJNgqcX7u0,This is an instrumental electric guitar jam meant to showcase an echo delay pedal. The guitar using the pedal is merely strumming the chords while there is another electric guitar in the background playing the melody. There is also a bass guitar playing a simple bass line. In the rhythmic background there is a chill rock beat played by the acoustic drums. There is a calm and chill atmosphere in this piece. It could be used as the loading screen music in a video game.,"['instrumental', 'electric guitar', 'bass guitar', 'acoustic drums', 'effect pedal', 'echo', 'delay', 'gear', 'repeated theme', 'clean sound', 'chill', 'calm', 'easygoing']",train
pop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\pop\pop.00012.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\pop\pop.00012.npy,oNggxSyyyq8,This audio contains a lot of different percussive instruments spread to both sides of the speakers. In the background you can hear a laughing sample in a high pitch. A male voice is singing in a higher pitch than a female voice takes over singing. A doorbell is ringing. An acoustic guitar is strumming chords. This song may be playing at an open air festival where everybody can dance along.,"['pop', 'percussions', 'acoustic guitar', 'laughing sample', 'doorbell ringing', 'male and female voices singing', 'e-bass', 'uptempo', 'uplifting energy']",train
pop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\pop\pop.00045.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\pop\pop.00045.npy,zTtZH-Q61Ik,"A female vocalist sings this beautiful pop melody. The tempo is medium fast with rhythmic acoustic guitar, keyboard harmony, electric guitar melody, straight drumming;steady bass and tambourine beats. The song is mellow, sweet, passionate,emotional, youthful, romantic, simple and tender. This song is a hit Indonesian Pop.","['female vocalist', 'medium fast tempo', 'pop', 'straight drumming', 'classic pop', 'passionate', 'emotional', 'romantic', 'first love', 'indonesian pop', 'melodious', 'rhythmic acoustic guitar', 'electric guitar', 'groovy bass line', 'keyboard harmony', 'tambourine beats', 'synthesiser', 'vivid', 'vivacious', 'youthful', 'love song', 'emotional', 'sentimental']",train
blues,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\blues\blues.00011.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\blues\blues.00011.npy,19Pp9QEw17U,This is the recording of a slide guitar lesson. There is a male instructor playing blues on the steel guitar while speaking and breathing over his performance at the same time.,"['slide guitar lesson', 'blues', 'male voice', 'speaking', 'breathing']",train
classical,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\classical\classical.00090.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\classical\classical.00090.npy,Z_HT-d8W1_M,"This song is a Sitar instrumental. The tempo is slow with a beautiful violin orchestra accompaniment and keyboard harmony. This is an indo western piece with the musician playing a mellifluous lead on a sitar accompanied with a harmonic violin composition. The medley is ethereal, beautiful, peaceful, serene , calming, soothing, pleasing and ethereal.","['instrumental', 'slow tempo', 'indian classical', 'sitar', 'ethereal soothing', 'peaceful', 'indo western medley', 'calming', 'beautiful orchestra', 'violin harmony', 'indo western music', 'piano', 'calm', 'serene', 'pleasant', 'relaxed', 'mellifluous']",train
blues,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\blues\blues.00035.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\blues\blues.00035.npy,BEZdszHKGTQ,"This is a tutorial of a song that could be described as blues-rock. The performer plays the harmonica while strumming chords on an acoustic guitar. The feel of the instrumental is reflective, mellow and bluesy.","['harmonica', 'guitar', 'live recording', 'tutorial video', 'acoustic guitar strumming', 'bluesy harmonica playing', 'bluesy guitar chords', 'male speaking']",train
reggae,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\reggae\reggae.00056.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\reggae\reggae.00056.npy,xt6V3Ic72nE,"This is the live performance of a reggae piece. There is a male vocal hollering while a younger sounding male vocal is singing in a Jamaican accent. An electric guitar is strumming chords in staccato while a bass guitar is playing a groovy bass line. In the rhythmic background, there is an acoustic drum playing a reggae beat. The atmosphere is chill. This piece could be played at beach parties and in the soundtracks of summer vacation-themed movies or TV shows.","['reggae', 'dub', 'live performance', 'male vocal', 'teen male vocal', 'electric guitar', 'bass guitar', 'acoustic guitar', 'groovy', 'laid back', 'fun', 'chill']",train
metal,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\metal\metal.00028.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\metal\metal.00028.npy,Xn0wIqnt_44,"This music is an electronic instrumental. The tempo is fast with heavily synthesised arrangements and intense drumming with a male voice speaking over the music. The music is intense, vigorous,animated, futuristic  and vital. It sounds like video game music and the male voice seems to be reviewing Video Games.","['instrumental music', 'vigorous', 'animated', 'spirited', 'enthusiastic', 'intense drumming', 'last tempo heavy metal', 'hard rock', 'electronic music', 'video game music', 'male voice speaking', 'intense', 'electronic music', 'techno music', 'futuristic', 'review', 'informative']",train
hiphop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\hiphop\hiphop.00093.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\hiphop\hiphop.00093.npy,FsCQmTluSDw,The drums sound complex and fast paced  going into the direction of drum&bass. Full of hihat and snare hits. Barely noticeable a synthetic bass is playing along with the drums giving this song a ragga feeling. A very simple synthesizer pad is playing a high pitched melody. The male voice sounds lower and energetic. This recording is of poor audio quality. This song may be playing at a dancing event or while working out.,"['ragga/drum&bass', 'amateur recording', 'electronic drums', 'synthesizer lead', 'male rapping/singing voice', 'bass']",train
rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00094.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00094.npy,Wr5sFgqxLzQ,"This alternative rock song features a male voice singing the main melody. This is accompanied by percussion playing a simple beat. A shaker is played on every count. At the beginning, a scratch slide is played on the distortion guitar. The bass plays notes in groups of three on the first and second counts of each bar. A keyboard plays repetitive fills in between lines. The voice is emotive and the feel of this song is psychedelic. The audio quality is low. This song can be played in a night driving scene in a movie.","['amateur recording', 'alternative rock', 'low quality audio', 'distortion guitar', 'bass', 'percussion', 'tambourine', 'slow tempo', 'psychedelic feel', 'guitar scratching', 'emotive voice', 'male voice', 'shaker', 'keyboard fills']",train
blues,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\blues\blues.00084.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\blues\blues.00084.npy,_wyELLqwF3w,"This is an instrumental piece with a harmonica as the main lead melodic instrument. High pitched, wobbly sounds are played on the harmonica and contrasted by a deep and full acoustic guitar on which arpeggios are played. There's a sustained pad synth in the background which adds to the overall calming and soothing tone of the song.","['harmonica', 'blues', 'acoustic guitar arpeggio', 'calm', 'pad synth', 'soothing']",train
hiphop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\hiphop\hiphop.00091.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\hiphop\hiphop.00091.npy,LaaC_q3QDUE,The recording contains two parts. One being a song with digital drums  with a sub bass on the kick and a finger snapping sound used as a snare. A steeldrum sample is playing a repeating melody while a male voice is rapping in a higher pitch along to backing vocals creating a cheerful atmosphere. Then the song stops and you can hear mobile phones ringing. Two male voices are talking to each other. Then the recording stops with a beeping sound. This recording may be playing in a movie scene.,"['rap', 'mobile phones ringing', 'male voices talking', 'backgroundnoises', 'male voice rapping', 'higher register', 'medium tempo']",train
disco,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\disco\disco.00041.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\disco\disco.00041.npy,0Ubu4BqSWmU,"A male vocalist sings this mellow rap. The tempo is medium with a groovy bass line, keyboard harmony , slick drumming and vocal backup. The song is youthful, story telling, passionate, impactful, compelling and engaging. This song is contemporary Hip-Hop/Rap.","['male singer', 'slow tempo', 'funky bass lines', 'intense drumming', 'synthesiser arrangements', 'vocal backup', 'hip-hop', 'rap', 'pop rap', 'hip-hop hits', 'disco rap', 'rhythmic speech', 'story telling', 'passionate', 'emotional', 'persuasive', 'compelling', 'engaging', 'persuasive', 'youthful']",train
rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00037.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00037.npy,wMi_0eEIpcM,"This is a live recording from a rock music concert. There is an electric guitar playing the rhythm section upfront with a loud drum background. A harmonica solo is being played over the guitar and the drums. The song carries a playful and energetic atmosphere. This music could be played at a bar, especially a rock bar.","['rock', 'electric guitar', 'drums', 'harmonica', 'live performance', 'loud', 'playful']",train
hiphop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\hiphop\hiphop.00086.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\hiphop\hiphop.00086.npy,B1va1NqaA4o,This rap song features a male voice rapping in a foreign language. This is accompanied by programmed percussion playing a simple beat. The bass plays the root note of the chord in sets of 3 strokes. The same note is played through the song in sets of three. A repetitive plucked synth sound is played in loop. Quirky sounds are heard in the background. This song has a defiant mood. This song can be played in a gangster movie.,"['rap song', 'foreign language', 'male voice', 'quirky sounds', 'programmed percussion', 'moderate tempo', 'simple bass', 'repetitive plucked synth lick']",train
reggae,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\reggae\reggae.00071.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\reggae\reggae.00071.npy,jPOWgfA0zAo,"The low quality recording features a passionate male vocal, alongside passionate female vocal in the left channel of the stereo image, singing over shimmering hi hats, which are also in the left channel, widely spread funky electric guitar chords, synth keys melody in the right channel, groovy bass, wooden percussions and mellow rimshots. It sounds happy, joyful, easygoing and chill.","['reggae', 'passionate male vocal', 'passionate female vocals', 'funky electric guitar melodies', 'synth keys melody', 'wooden percussions', 'groovy bass', 'mellow rimshots', 'shimmering hi hats', 'happy', 'joyful', 'easygoing', 'chill']",train
metal,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\metal\metal.00026.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\metal\metal.00026.npy,RIe1omxr7nc,This music is instrumental. There is no instrumentation. The clip starts with white noise and static and ends with the sound of a bell ringing. There are some ambient sounds in the background like bird chirping and flicking.,"['instrumental', 'no tempo', 'white noise', 'metallic sound', 'static', 'bird chirping', 'resounding', 'vibration', 'long note', 'bell sound', 'ambient sounds', 'brass']",train
blues,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\blues\blues.00096.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\blues\blues.00096.npy,EBpa2CADNJA,This is a live recording of a blues piece being played by a guitarist. The audio recording is vintage and the quality could be improved. The guitarist plays an intricate finger picked piece with slides embedded between the plucked notes.,"['live recording', 'tutorial', 'blues guitar', 'guitar slide', 'blues', 'mellow blues']",train
blues,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\blues\blues.00068.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\blues\blues.00068.npy,9QwaP-cvdeU,"This song is a Jazz instrumental . The tempo is slow with a lively saxophone harmony, groovy bass line, syncopated piano and slick drumming along with the sound of breeze, some clicking and super mario theme. The song in the background is classic Jazz.","['jazz music', 'instrumental', 'enthusiastic saxophone', 'super mario theme', 'jazz', 'blues', 'wind instrument', 'ambient', 'syncopated piano', 'improvisations', 'super mario tune', 'sound of wave board', 'breeze', 'background chatter', 'groovy bass guitar', 'slick drumming']",train
metal,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\metal\metal.00074.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\metal\metal.00074.npy,GrbrWNohr6Y,"A female vocalist sings this mellow song. The tempo is slow with a subtle electric guitar accompaniment. The audio quality is inferior making it difficult to hear the song well. There is another track superimposed over the song which has sound so footsteps, metal being dragged, crickets, cricket chirping, breeze and some rustling. This is an audio of a song being played outdoors.","['female vocalist', 'slow tempo', 'static', 'growling sound', 'crickets', 'ambient outdoor sounds', 'rustling', 'mellow', 'soft', 'two tracks', 'outdoors', 'subtle electric guitar', 'metal being dragged', 'white noise', 'cricket chirping']",train
classical,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\classical\classical.00044.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\classical\classical.00044.npy,y5HkvusmkqM,"The low quality recording features a classical song that consists of a mellow french horn melody playing over wide strings. It is a bit noisy and it sounds passionate, easygoing and like something you would hear as a background music for old movies.","['low quality', 'classical', 'noisy', 'wide strings melody', 'mellow french horn melody', 'easygoing', 'passionate', 'movies']",train
blues,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\blues\blues.00093.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\blues\blues.00093.npy,m8-aK8egg84,"Solo harmonica playing blues licks, followed by a male voiceover.","['solo harmonica', 'blues licks', 'male voiceover']",train
disco,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\disco\disco.00073.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\disco\disco.00073.npy,ZEuY5HnECuo,This disco song features a male voice singing the main melody. Another voice sings in harmony with the main voice. This is accompanied by programmed percussion playing a simple melody. There is a distinctive hi-hat ring at alternate strokes giving this a unique sound. The bass plays a groovy bassline using the root notes of the chords. A synth plays chords in the background. This song is at a moderate tempo. This song can be played in a club.,"['disco song', 'groovy bassline', 'male voice', 'backing voice', 'vocal harmony', 'programmed percussion', 'synth chords', 'moderate tempo', 'dance song']",train
rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00098.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00098.npy,7PtHb9jQCtg,This is an amateur recording of a rock music concert. There is an electric guitar playing the main tune while another electric guitar is starting to play a solo. A bass guitar can be heard in the background playing the root notes of the tune. There is a loud acoustic drum beat in the rhythmic background. The recording is a bit outdated so the quality is pretty low.,"['amateur recording', 'live performance', 'rock music', 'electric guitar', 'bass guitar', 'acoustic drums', 'fans shouting', 'screams']",train
hiphop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\hiphop\hiphop.00094.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\hiphop\hiphop.00094.npy,5s0yPPrQWxs,This is a British hip-hop music piece. There is a male vocal rapping in the lead. The beat in the background has its main melody being played by the acoustic guitar. A faint bass sound can be heard in the background. The rhythm is provided by an electronic drum beat. The atmosphere is hip and the sound is urban. This piece could be used in the soundtrack of a teenage drama movie that takes place in Great Britain.,"['british hip-hop music', 'male vocal', 'rapping', 'acoustic guitar', 'bass', 'electronic drums', 'hip', 'urban']",train
jazz,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\jazz\jazz.00095.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\jazz\jazz.00095.npy,UoxHwOl2gN0,This song contains an acoustic drum-set holding the groove and changing his beat after a fill-in to a four on the floor with a kick on every beat. Mixed voices are singing a soulful sounding melody then an e-piano takes over playing a melody before a trumpet and a saxophone come in playing a loud melody. In the background you can hear percussion such as a cowbell being panned to the right side of the speakers. The crowd is cheering and clapping along. This song may be playing at a live concert.,"['soul/jazz', 'e-piano', 'acoustic drums', 'mixed voices singing', 'cowbell', 'trumpet', 'saxophone', 'e-bass', 'clapping', 'uptempo', 'cheerful vibe']",train
pop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\pop\pop.00031.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\pop\pop.00031.npy,60OIHit4Q-M,This is an Indian pop music piece. The female vocalist is singing in a heart-touching manner. The electric guitar is playing a gentle melody. The bass guitar is supporting the melodic background. The electronic drums and the electronic percussion provide a mid tempo rhythmic background. The overall atmosphere of the piece is sentimental. It could be used in the soundtrack of a Bollywood drama.,"['indian pop music', 'female vocal', 'sentimental', 'electric guitar', 'bass guitar', 'electronic drums', 'electronic percussion', 'repeated theme', 'simple']",train
rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00060.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00060.npy,P3ZPbGjHFXE,"The low quality recording features a live performance of a rock song that consists of passionate male vocal singing over electric guitar solo melody, energetic cymbals, muffled snare and kick hits and groovy bass guitar. There are also some crowd noises, singing along. It sounds energetic, emotional and addictive, thanks to that cadence.","['low quality', 'crowd noises', 'noisy', 'rock', 'live performance', 'electric guitar solo melody', 'energetic cymbals', 'muffled snare hits', 'muffled kick hits', 'passionate male vocal', 'groovy bass guitar', 'energetic', 'emotional', 'addictive']",train
classical,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\classical\classical.00066.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\classical\classical.00066.npy,rFE_bKOr1W0,The low quality recording features a cover of a classical song played on buzzy harpsichord melody. The recording is a bit noisy.,"['buzzy harpsichord melody', 'low quality', 'noisy', 'classical', 'cover']",train
hiphop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\hiphop\hiphop.00034.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\hiphop\hiphop.00034.npy,RXGDlFry3Vo,"The low quality recording features a hip hop track that consists of flat male vocal rapping over smooth bass, high pitched female vocal, mellow piano melody, shimmering tambourine layered with punchy snare, followed by soft kick and crash cymbal hits. It sounds groovy and emotional, even though the recording is muffled and kind of dull, due to the bad mixing.","['hip hop', 'low quality', 'smooth bass', 'high pitched female vocal', 'mellow piano melody', 'flat male vocal', 'shimmering tambourine', 'soft crash cymbal', 'punchy snare', 'soft kick hits', 'groovy', 'emotional', 'muffled', 'dull']",train
