split,genre,graph_path,feature_path,ytid,start_s,end_s,caption,tags,mood
train,metal,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\metal\metal.00028.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\metal\metal.00028.npy,0fCpAuxrQ_I,380,390,"This song is a Rock instrumental. The tempo is medium fast with an aggressive electric guitar harmony, steady drumming, keyboard accompaniment, groovy bass lines. The audio quality is inferior so the finer aspects; are hard to detect. Overall the vibe of the song is intense,dangerous, sinister, spooky, goth, threatening and suspenseful. This song is Hard Rock/Metal.","['instrumental', 'fast tempo', 'hard rock', 'no vocals', 'inferior audio quality', 'metal', 'suspenseful', 'dangerous', 'youthful', 'spirited', 'intense', 'hard metal', 'aggressive electric guitar', 'sinister keyboard harmony', 'steady drumming', 'groovy bass line', 'eerie', 'suspenseful', 'spooky', 'goth rock']",dark
train,hiphop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\hiphop\hiphop.00093.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\hiphop\hiphop.00093.npy,NsYVaRI6rXg,30,40,"The song is an upbeat pop song with a slight hip hop influence. It's a live performance and features a breathy, seductive female vocalist. The backup singers almost chant or laugh in a staccato way that creates a vocal riff. There are string instruments in the background. This is a live performance.","['live performance', 'laughing vocals', 'seductive female pop vocals', 'strings motif', 'pop dance music', 'upbeat', 'breathy female vocals', 'hip hop']",energetic
train,rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00094.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00094.npy,8KUV2TFTpGo,410,420,"This is a live acoustic performance of a folk rock music piece. There are male vocals singing melodically in the lead. The melody consists of a wide range of elements such as the acoustic guitar, the bass guitar, the piano and the saxophone. The acoustic drums are being played with brushes in the rhythmic background. The atmosphere is easygoing and joyful. This piece could be playing in the soundtrack of a feelgood movie during a road trip scene.","['folk rock', 'soul', 'acoustic live performance', 'male vocals', 'melodic singing', 'acoustic guitars', 'bass guitar', 'saxophones', 'piano', 'acoustic drums', 'easygoing', 'joyful']",happy
train,blues,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\blues\blues.00084.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\blues\blues.00084.npy,Ypuv3htJlpg,150,160,This is an amateur recording of a harmonica solo being performed over a blues/rock-n-roll music piece. The piece is instrumental. The harmonica plays a melodic solo in the style of blues. The backing track consists of the electric guitar and the bass guitar playing a simple tune while the medium tempo acoustic drums are playing a basic blues rock beat. The atmosphere is easygoing. This piece could be playing from the radio during a road trip in a movie.,"['amateur recording', 'blues', 'rock-n-roll', 'instrumental', 'harmonica solo', 'backing track', 'electric guitar', 'bass guitar', 'acoustic drums', 'easygoing']",calm
train,hiphop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\hiphop\hiphop.00091.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\hiphop\hiphop.00091.npy,yZRTQX8pcMY,490,500,"This music is a percussive instrumental. The tempo is fast with a beatboxing rhythm. The beat is a vigorous, rapid, youthful, energetic, enthusiastic imitation of the drum machine. The audio quality is inferior so the music is muffled.","['instrumental', 'fast tempo', 'percussion', 'beat boating', 'rapid', 'vocal drumming', 'rap', 'hip-hop', 'vocal percussion', 'rhythmic beats', 'home recording', 'amateur recording', 'inferior audio quality', 'digital drum imitation', 'vigorous', 'energetic', 'youthful']",energetic
train,disco,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\disco\disco.00041.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\disco\disco.00041.npy,1DNoynuGLV4,30,40,This song starts with a glitter sound and the drums hitting a soft crash. Followed by piano chords and a higher pitched melody accompanied by a stringlike synthesizer sound repeating a simple melody. The drums sound repetitive and programmed accompanied by some bongos  and a bass giving the song a funky groove. There is a beeping sound that sounds like it's not part of the song. This song may be playing while stuck on the telephone-line.,"['discofunk/pop', 'beeping noises', 'drums', 'bongos', 'piano', 'e-bass', 'synthesizer pad', 'upbeat']",energetic
train,rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00037.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00037.npy,XDBxMQrRaFY,30,40,"This song is an instrumental. It is slow tempo with only an Electric guitar harmony. The music is emphatic, loud , clear and pleasant. This is instrumental soft rock.","['instrumental', 'electric guitar', 'catchy riff', 'amplified guitar', 'electronic instruments', 'magnified tone', 'slow', 'emphatic', 'soft rock', 'mellow', 'amateur recording', 'youtube video', 'youtube music', 'mellow', 'pleasant', 'home video']",calm
train,hiphop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\hiphop\hiphop.00086.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\hiphop\hiphop.00086.npy,z9UJD6O7EAE,70,80,This recording has been done live in a room with speakers. It features a DJ scratching the desks live to create these squeaky scratching sound effects. The song is a mellow hip hop song featuring a  relaxed drum beat and bassline.,"['disk jockey', 'dj', 'records', 'decks', 'deck scratching', 'hip hop', 'mellow', 'scratching sounds', 'chilled hip hop beat', 'simple drum beat', 'live recording']",calm
train,reggae,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\reggae\reggae.00071.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\reggae\reggae.00071.npy,_Ra1Y6K7nSs,0,10,This reggae song features male voices singing the main melody in harmony. The clip starts off with the sound of a chalk writing on a board. This is followed by a percussion roll. The voices start singing the main melody. This is accompanied by percussion playing a reggae beat. The bass plays a reggae style bassline. The keyboard plays staccato chords in a reggae rhythm. The mood of this song is happy. This song can be played in a birthday scene in a movie when a family is on a holiday on an island.,"['chalk writing on blackboard', 'bass', 'male voices', 'percussion', 'reggae', 'happy mood', 'celebration song', 'keyboard', 'moderate tempo']",happy
train,metal,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\metal\metal.00026.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\metal\metal.00026.npy,W7i4LkdSfjw,520,530,"The low quality recording features a live performance of a metal song that consists of manic drums played over aggressive electric guitar melodies and distorted bass guitar. The drums consist of a punchy double pedal kick, punchy snare hits and energetic cymbals. There are some crowd cheering sounds in the background. It sounds aggressive, and energetic overall.","['low quality', 'live performance', 'metal', 'aggressive', 'energetic', 'crowd cheering', 'manic drums', 'aggressive electric guitar melodies', 'distorted bass guitar', 'punchy double pedal kick', 'punchy snare', 'energetic cymbals']",energetic
train,blues,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\blues\blues.00096.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\blues\blues.00096.npy,itgeNVRhBKs,490,500,"This music is a lively instrumental. The tempo is fast with an animated trumpet harmony, infectious drumming, groovy bass lines and synthesiser arrangement. The Brass lead, harmony and flourish is the main layer of this instrumental . The music is youthful, buoyant, fresh, cheerful, happy and energetic. This instrumental is an Urban Blues.","['instrumental', 'fast tempo', 'lively trumpets', 'jazz', 'blues', 'r&b', 'contemporary blues', 'urban blues', 'trumpet harmony', 'groovy bass line', 'infectious drumming', 'synthesiser arrangement', 'youthful', 'playful', 'cheerful', 'happy', 'sunny', 'engaging', 'ambient', 'bright', 'vivacious', 'mood', 'trumpet flourish', 'brass band', 'trombone']",happy
train,blues,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\blues\blues.00068.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\blues\blues.00068.npy,-7B9tPuIP-w,450,460,"A male voice narrates a monologue to the rhythm of a song in the background. The song is fast tempo with enthusiastic drumming, groovy bass lines,cymbal ride, keyboard accompaniment ,electric guitar and animated vocals. The song plays softly  in the background as the narrator speaks and burgeons when he stops. The song is a classic Rock and Roll and the narration is a Documentary.","['male vocalist', 'medium fast tempo', 'monologue', 'background music', 'hit songs', 'retro', 'narrator', 'narration', 'documentary', 'animated singing', 'enthusiastic drumming', 'cymbal ride', 'electric guitar', 'groovy bass lines', 'rock and rock', 'classic rock and rock', 'muffled', 'blues', 'rock hits', 'vocalisation']",energetic
train,metal,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\metal\metal.00074.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\metal\metal.00074.npy,KnZeEWVHaLc,230,240,"The low quality recording features a metallic scraping sound effect, soft scratching sound effect, water leaking sound effect, breathy flute melody and birds chirping sound effects. It sounds relaxing and calming.","['low quality', 'metallic scraping sound effect', 'soft scratching sound effect', 'water leaking sound effect', 'breathy flute melody', 'birds chirping sound effect', 'relaxing', 'calming']",calm
train,classical,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\classical\classical.00044.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\classical\classical.00044.npy,iLIBaMceZQc,30,40,This is a classical music piece that is being performed live by a philharmonic orchestra. There is a wide array of instruments in the brass and the strings sections playing an epic tune. There is a grandiose atmosphere to this piece. It could be used in the soundtrack of an adventure movie where the protagonist begins his odyssey and explores wonderful scenes.,"['classical music', 'philharmonic orchestra', 'live performance', 'strings', 'brass', 'epic', 'grandiose', 'maximalist', 'movie music']",neutral
train,blues,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\blues\blues.00093.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\blues\blues.00093.npy,E3F9bzeCgTQ,30,40,The song is an instrumental. The song is fast tempo with  soloists playing an enthusiastic guitar strumming and harmony. The song is energetic and entertaining. The audio is poor and the song is played in front of a live audience that is cheering and hooting in approval.,"['poor audio quality', 'instrumental music', 'virtuous guitarist', 'classic guitar hits', 'adrenaline rush', 'people cheering', 'groovy', 'hooting', 'guitar player', 'soloist', 'fast strumming rhythm', 'energetic', 'passionate', 'dance rhythm', 'groovy music', 'jazz blues', 'gypsy guitar music', 'blues music', 'fast tempo']",energetic
train,disco,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\disco\disco.00073.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\disco\disco.00073.npy,4a1a-lmDVaY,30,40,This funk song features a male voice singing the main melody. Other voices sing backing vocals in harmony. A saxophone plays a repetitive melody. This is accompanied by percussion playing a funk beat. The bass plays a funky bassline. A guitar plays muted chords using a tron effect. This song is upbeat and has a happy mood. This song can be played at a retro style disco.,"['funk song', 'male voice', 'backing voices', 'tambourine', 'saxophone', 'percussion', 'guitar', 'funk bass', 'moderate tempo', 'upbeat', 'repetitive melody', 'guitar tron effect']",energetic
train,rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00098.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00098.npy,zx_vcwOsDO4,50,60,The rock music is purely instrumental and features an electric guitar with a distortion effect on. The guitarist is playing a lot of notes with virtuosity. This music excerpt would make for a really good electric guitar solo.,"['instrumental', 'no voice', 'electric guitar', 'distortion effect', 'virtuosity', 'rock genre', 'solo']",neutral
train,hiphop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\hiphop\hiphop.00094.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\hiphop\hiphop.00094.npy,2Ui85-AOLyo,30,40,This is a live recording of a DJ doing deck scratching on a hip hop song.,"['deck scratching', 'hip hop', 'melodic hip hop', 'electric guitar', 'bass line', 'live recording', 'fuzzy squeaky effect']",neutral
train,jazz,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\jazz\jazz.00095.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\jazz\jazz.00095.npy,eSsadT6mh7g,120,130,"The low quality recording features some camera shuttering sound effects and a jazz song playing in the background. The song consists of a cool saxophone solo melody over groovy bass, easygoing electric guitar chords in the left channel of the stereo image and energetic drums. It sounds easygoing and energetic at the same time.","['low quality', 'camera shuttering sound effect', 'jazz', 'energetic drums', 'groovy bass', 'easygoing electric guitar chords', 'cool saxophone solo melody', 'easygoing', 'energetic']",energetic
train,pop,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\pop\pop.00031.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\pop\pop.00031.npy,66B46E_hrrk,140,150,"The song is an instrumental. The tempo is medium with a groovy drumming rhythm, percussive bass line, keyboard accompaniment and various percussive and sonic effects. The song is youthful and exciting with a trance element. The song is a modern tench pop dance tune.","['techno dance music', 'electronic dance music', 'trance dance music', 'medium tempo', 'groovy bas slime', 'techno drumming rhythm', 'keybiard accompaniment', 'percussion hits', 'sonic effects', 'dj', 'dance floor', 'dance club', 'people dancing', 'groovy dance rhythm', 'trance music', 'enthusiastic', 'passionate', 'youthful', 'exciting']",energetic
train,rock,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\rock\rock.00060.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\rock\rock.00060.npy,tz2TlSMmTp4,30,40,A lot of high frequencies that are produced by an e-bass and two distorted electric guitars are running through amps that are sounding highly overdriven. The drums silently build up the atmosphere before all instruments are loudly breaking into the next part of the song. The drums with crash hits and the guitars and bass with one single low note while a male voice is screaming. This song may be playing at a festival.,"['punkrock', 'overdrive amps', 'e-guitars', 'male voice screaming', 'acoustic drums', 'aggressive buildup', 'medium tempo']",energetic
train,classical,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\graphs\classical\classical.00066.pkl,C:\Users\user\Downloads\gnn_bert_music_context\data\processed\features\classical\classical.00066.npy,C9e2k030QcY,30,40,The song is an instrumental. The tempo is medium with a  Harpsichord being played by an elder gentleman in classic baroque style. The music is engaging and exciting. The song audio quality is poor.,"['harpsichord player', 'harpsichord', 'baroque music', 'poor audio quality', 'traditional music', 'kings and queens', 'western classical music', 'slow tempo', 'staggered play', 'instrumental music', 'engaging', 'emotional', 'melancholic', 'youthful', 'spirited', 'passionate', 'tragedy', 'great composers', 'sight reading']",calm
